Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8043478260869565,0.8055555555555556,0.8529411764705882,0.8285714285714286,0.8926351028216164
SVM,0.8260869565217391,0.8017241379310345,0.9117647058823529,0.8532110091743119,0.9067431850789097
Random Forest,0.842391304347826,0.8288288288288288,0.9019607843137255,0.863849765258216,0.9078192252510761
ANN,0.8315217391304348,0.8141592920353983,0.9019607843137255,0.8558139534883721,0.8993304638928742
